Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
315,Changchengornis_hengdaoziensis,Changchengornis,Theropoda,Avialae,Avialae,Late_Barremian,Early_Aptian,33.4,NA,NA,2.9,35.328,NA,33.5,NA,NA,NA,NA,31,20.64,Ji et al. 2007; GMV2129-a/b,,0,0,"GMV, National Geological Museum of China, Beijing, China",GMV2129-a/b,NA,NA,9.008123582,0.0519,FC_for_bipedal_dinosaurs_using_FAP_and_equation_.8.,NA,NA,NA,0.085899662,0.196675499
729,Changchunsaurus_parvus,Changchunsaurus_parvus,Ornithischia,Ornithischia,Ornithischia,Late_Albian,Early_Cenomanian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,Butler et al. 2011,immature; no neurocentral fusion: Butler et al 2011,1,0,"JLUM , Jilin University Geological Museum, Changchun, Jilin Province, China.",JLUM L0403-j-Zn2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,Chaoyangia_beishanensis,Chaoyangia,Theropoda,Avialae,Avialae,121,119.4,45,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hou & Zhang 1994; IVPP V9934,,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP V9934,NA,NA,15.36,0.0389,FC_for_bipedal_dinosaurs_using_FML_and_equation_.6.,NA,NA,NA,0.372528428,0.177310335
730,Chaoyangsaurus_youngi,Chaoyangsaurus_youngi,Ornithischia,Ceratopsia,Ceratopsia_1,Late_Tithonian,Valanginian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zhao et al. 1999,Only skull known,0,0,"IG, Institute of Geology, Chinese Academy of Geological Sciences, Beijing, China",IGCAGS V371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,Charonosaurus_jiayinensis,Charonosaurus_jiayinensis,Ornithischia,Hadrosauroidea,Hadrosauroidea,Late_Maastrichtian,Late_Maastrichtian,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Godefroit et al. 2000, 2001","Unknown specimen number, holotype is only a skull; mature",0,1,,Referred Specimens,NA,NA,537.46,0.0417,FC_for_quadrupedal_iguanodontians_using_FL_and_equation_.30.,NA,NA,NA,NA,NA
732,Chasmosaurus_belli,Chasmosaurus_belli,Ornithischia,Ceratopsidae,Ceratopsidae,Late_Campanian,Late_Campanian,825,325,94.6,100,565,282,580,254,80.3,65.6,122.5,338.5,217.7,ROM 839 (NEC/MTC),mature,0,0,"ROM, Royal Ontario Museum, Toronto, Canada",ROM 839,305.74,229.76,325,0,measured,254,0,measured,3097.617496,0.153215359
733,Chasmosaurus_russelli,Chasmosaurus_russelli,Ornithischia,Ceratopsidae,Ceratopsidae,Late_Campanian,Late_Campanian,716,312,97.6,76.5,498,257,553,270,91,70.4,118,312,170,CMN 2280 (NEC); Mallon 2006; also Carrano dataset TMP 82.4.5 (cast of NMC 2280),skull length from Lull 1933; mature,0,0,"CMN, Canadian Museum of Nature, Ottawa, Canada",CMN 2280,274.48,254.56,312,0,measured,270,0,measured,3141.943443,0.153130193
317,Chilantaisaurus_tashuikouensis,Chilantaisaurus,Theropoda,Allosauroidea,Allosauroidea,Turonian,Turonian,1190,432,NA,NA,954,NA,580,NA,NA,NA,NA,NA,460,Benson & Xu 2008; IVPP V.2884,,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP V.2884,NA,NA,432,0,measured,NA,NA,NA,3590.391759,0.135
70,Chinshakiangosaurus_chunghoensis,not,Sauropodomorpha,Sauropoda,Sauropoda,Hettangian,Sinemurian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dong 1992; Upchurch et al. 2007; IVPP V14474, hindlimb mentioned but never described",,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP V14474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,Chirostenotes_pergracilis,Chirostenotes,Theropoda,Oviraptorosauria,Oviraptorosauria,Late_Campanian,Late_Campanian,310,92,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,207,Currie & Russell 1988 (TMP 79.20.1),,0,0,"TMP, Royal Tyrrell Museum of Paleontology, Drumheller, Canada",TMP 79.20.1,NA,NA,92,0,measured,NA,NA,NA,51.10363652,0.135
